codigo_estudiantil,nombre,apellido,carrera,numero_telefono
889,Skipp,Trumpeter,Tecnología en Construcciones Civiles,2257031731
890,Collie,Josephoff,Tecnología en Construcciones Civiles,7976196944
891,Saloma,Brigstock,Ingeniería en Telemática,2084687904
892,Tawnya,Ramlot,Tecnología en Gestión de la Producción Industrial,1804840445
893,Bear,MacDonogh,Ingeniería en Control y Automatización,2108999346
894,Kriste,Leving,Tecnología en Construcciones Civiles,8312937656
895,Eliot,Roxbrough,Tecnología en Sistematización de Datos,7219428655
896,Gunner,Schimaschke,Ingeniería en Control y Automatización,7137265894
897,Guss,Cosgrave,Tecnología en Mecánica Industrial,3316117417
898,Rollie,Frotton,Tecnología en Electrónica Industrial,5883023287
899,Edgardo,Beavington,Tecnología en Construcciones Civiles,7089614765
900,Brittany,Ferenczi,Ingeniería Eléctrica,8305107396
901,Tamara,Danielkiewicz,Ingeniería Civil,3378782841
902,Phillis,Strudwick,Ingeniería Mecánica,9294428252
903,Barny,Legen,Tecnología en Sistematización de Datos,3479712008
904,Mohandis,Iacomelli,Tecnología en Construcciones Civiles,4337070142
905,Corey,O' Connell,Tecnología en Construcciones Civiles,8024610871
906,Gram,Ewbanke,Tecnología en Gestión de la Producción Industrial,7062238397
907,Barron,Scragg,Ingeniería Eléctrica,5954739328
908,Jessalyn,Stonehouse,Tecnología en Construcciones Civiles,1206037517
909,Frederic,Speddin,Ingeniería Civil,6363278499
910,Christina,Franies,Tecnología en Mecánica Industrial,9752117872
911,Stevana,Guinane,Otro,6402933268
912,Cal,Chong,Tecnología en Sistematización de Datos,2069870961
913,Christopher,Woollends,Tecnología en Electrónica Industrial,7489739153
914,Steffen,Longwood,Ingeniería Eléctrica,6233339364
915,Had,Wey,Ingeniería Mecánica,4411890633
916,Pat,Blois,Ingeniería Eléctrica,9274501006
917,Camel,Stout,Ingeniería de Producción,2685535010
918,Nelly,Cathesyed,Ingeniería en Telemática,8138018006
919,Mirabelle,Dearlove,Ingeniería Eléctrica,5478595454
920,Atlanta,Willatts,Ingeniería en Telemática,4671635483
921,Gradeigh,Bleackley,Tecnología en Construcciones Civiles,1704070074
922,Hallsy,Feron,Tecnología en Gestión de la Producción Industrial,2679696716
923,Shanan,Luton,Ingeniería en Telemática,6146323290
924,Dulcinea,Eytel,Tecnología en Electricidad de Media y Baja Tensión,5079822251
925,Herrick,Scotchmur,Ingeniería de Producción,6166563350
926,Mikkel,Lauderdale,Tecnología en Electrónica Industrial,6137372426
927,Ronni,Motion,Tecnología en Mecánica Industrial,9171699202
928,Faunie,Edgin,Ingeniería en Control y Automatización,8792932030
929,Albert,Camplen,Tecnología en Construcciones Civiles,7655191030
930,Dasya,Pothergill,Ingeniería en Control y Automatización,1597210449
931,Ursa,Banstead,Tecnología en Construcciones Civiles,3718903555
932,Britney,Attoc,Ingeniería de Producción,5356548724
933,Christoffer,Shillinglaw,Ingeniería Mecánica,2255647389
934,Alla,Werndley,Ingeniería en Telecomunicaciones,1917151647
935,Marcela,Erett,Ingeniería en Control y Automatización,7388954465
936,Rose,Dri,Tecnología en Gestión de la Producción Industrial,6861265107
937,Edmund,Ogden,Ingeniería Civil,7857313531
938,Elfie,Houltham,Ingeniería en Telemática,5109994320
939,Thorn,Showers,Ingeniería Eléctrica,9657445873
940,Cointon,Rochelle,Ingeniería en Control y Automatización,1438853970
941,Haleigh,Boame,Ingeniería Eléctrica,3284992618
942,Freemon,Balmadier,Tecnología en Gestión de la Producción Industrial,5529019728
943,Billie,Fieller,Tecnología en Electricidad de Media y Baja Tensión,2475347721
944,Sydel,Lindgren,Tecnología en Gestión de la Producción Industrial,2905041949
945,Jorry,Moston,Ingeniería Mecánica,4807070874
946,Jackie,Hursthouse,Tecnología en Gestión de la Producción Industrial,3575101991
947,Sheryl,Flori,Tecnología en Electricidad de Media y Baja Tensión,3631263489
948,Nanice,Hugin,Ingeniería de Producción,5806561641
949,Akim,Pawelke,Ingeniería de Producción,8909603180
950,Odell,Marcus,Ingeniería Civil,5591213921
951,Lesley,Mullin,Tecnología en Construcciones Civiles,5166069293
952,Baillie,Ough,Ingeniería de Producción,7872878951
953,Layton,Fairham,Ingeniería en Telemática,1068814256
954,Salome,Sartain,Tecnología en Sistematización de Datos,6924601370
955,Wilfrid,Rodrig,Ingeniería en Telecomunicaciones,3517958312
956,Leisha,Fassan,Tecnología en Construcciones Civiles,6968721312
957,Fleur,Lillie,Ingeniería en Control y Automatización,9917426445
958,Genevra,Mulderrig,Ingeniería en Telecomunicaciones,7617996987
959,Matilda,KardosStowe,Ingeniería en Telemática,6605864199
960,Graehme,Columbine,Tecnología en Mecánica Industrial,9671349734
961,Natalie,Rosenfield,Ingeniería en Telemática,2767567101
962,Cathrine,Baurerich,Ingeniería de Producción,5007242454
963,Jorey,Vedyashkin,Tecnología en Mecánica Industrial,3488632716
964,Guillema,Grzes,Tecnología en Construcciones Civiles,2105474486
965,Philippe,Oakley,Tecnología en Sistematización de Datos,6904305359
966,Gwenette,Kearle,Tecnología en Mecánica Industrial,1242137061
967,Consolata,Annatt,Tecnología en Gestión de la Producción Industrial,1232710146
968,Garner,Schuck,Tecnología en Sistematización de Datos,5882830525
969,Odelia,Atteridge,Ingeniería en Telemática,4534112639
970,Rudyard,Blazewski,Tecnología en Construcciones Civiles,3744941244
971,Kevyn,Chappelle,Otro,3913845981
972,Sam,Nehl,Tecnología en Mecánica Industrial,6567538740
973,Northrop,Petracchi,Otro,1027089426
974,Rudy,Ayliffe,Ingeniería en Control y Automatización,7697842493
975,Cart,Lawerence,Tecnología en Electrónica Industrial,3448819237
976,Federica,Laurand,Tecnología en Electrónica Industrial,9078070940
977,Fianna,Iglesiaz,Ingeniería Civil,6335242283
978,Doti,Hamflett,Ingeniería de Producción,2985662356
979,Perice,Burtwell,Ingeniería Eléctrica,1871754628
980,Oberon,Beauchamp,Tecnología en Construcciones Civiles,5471234239
981,Cate,Tarborn,Tecnología en Construcciones Civiles,3006395395
982,Valida,Syer,Tecnología en Mecánica Industrial,7124598748
983,Carlina,Littrik,Tecnología en Construcciones Civiles,3103704704
984,Jess,Aleksandrev,Tecnología en Construcciones Civiles,5255578750
985,Hernando,McCerery,Tecnología en Sistematización de Datos,5577238607
986,Cele,Morphey,Ingeniería Eléctrica,9537493844
987,Ruthy,Zavittieri,Ingeniería en Control y Automatización,1397228012
988,Andy,Jirieck,Ingeniería en Telecomunicaciones,9397752894
989,Ciro,Dauber,Ingeniería en Telemática,1239870350
990,Catherina,Kedslie,Otro,1846900652
991,Brok,Northeast,Tecnología en Gestión de la Producción Industrial,9397969883
992,Analiese,Benns,Otro,9122712320
993,Ora,Bonifacio,Ingeniería en Telecomunicaciones,7284744135
994,Merell,Scouller,Ingeniería Eléctrica,4699436224
995,Lucais,Dzenisenka,Ingeniería Eléctrica,6799847689
996,Heddi,Plumridege,Tecnología en Sistematización de Datos,3877470123
997,Tremaine,Telezhkin,Tecnología en Electrónica Industrial,3807846424
998,Dugald,Gerring,Tecnología en Construcciones Civiles,3742660093
999,Albertine,Ailward,Ingeniería en Telecomunicaciones,8723857675
1000,Janeen,Dyment,Tecnología en Electricidad de Media y Baja Tensión,1378872595
